User name,Ratings,Title,Review
Flipkart Customer,4,Nice product,Touch and camera is unbelievable. other things are ok. Not felt so much difference from other iPhones.Drains battery very fast.
Milan Gurung,5,Terrific,I'm glad tat i hav purchased its totally worthy .
MANJEET SINGH,5,Must buy!,Nice phone
Manish Kant,5,Terrific,Fast delivery and great performance
Minesh Desai,5,Mind-blowing purchase,Amazing fast delivery. Best delivery experience with complete and satisfied device check upon delivery.
Vimlaben Parmar,5,Terrific purchase,Nice and beautiful phone
RK Satya,5,Super!,Camera RAW quality is outstanding. Superb quality. And the pro motion display is so smooth. Loved it.
Chandan Prabhat,5,Wonderful,A Real Pro
Saikumar Reddy,5,Perfect product!,Good
Flipkart Customer,5,Excellent,Voice clarity is a problem
Vaibhav Agrawal,5,Highly recommended,Great and real product. Absolutely trustworthy seller with the best price drop available in the market.
Deta Umpe,5,Just wow!,"Everything as expected, am lovin this beast. Happy customer!"
Rahul Chikane,5,Brilliant,Quite heavy from other I phone series
Flipkart Customer,5,Wonderful,Superb phone 👍🏼
shringin ambli,5,Great product,Super phone. Best price when I bought. Super experience with amazing camera.
Hemsagar  Patel,5,Worth every penny,Apple Is Love
Sreejith K S,5,Great product,Switched from android to ios (from s20 fe to 14 pro). Camera and battery are commendable (probably the best in the market).
Ranjodh  Kumar ,5,Perfect product!,Ok
Ashutosh Kumar,5,Wonderful,"Before this i had iphone 13 pro, i got it for my girlfriend birthday gift. Amazing everything, and just one thing to say it is what it is🔥Delivery is quick. Thanks flipkart❤️"
Rahul  Jangir,5,Must buy!,amazing product
SIDDHARTH GAUTAM,5,Excellent,Working well and timely delivered
Flipkart Customer,3,Decent product,It's average
Flipkart Customer,5,Perfect product!,Apple iPhone 14 Pro
Flipkart Customer,5,Super!,Awesome
Ravindra  P,5,Just wow!,Good one
Flipkart Customer,5,Super!,Amazing
Rithik  L,5,Terrific purchase,This is an excellent product✌🏻
Flipkart Customer,5,Terrific purchase,Very good
vinay kumar yadav,5,Best in the market!,Good looking 🤩
Sateesh B,4,Very Good,Good
Mohit maurya,5,Highly recommended,Good
Sharwan Singh,5,Must buy!,Awesome
Arvinder  Singh,5,Great product,Got 100% genuine apple iPhone ( indian version)
Akhilesh Kumar Jaiswal,5,Excellent,Awesome phone worth shifting from android to iPhone
Raju Vemula,5,Must buy!,Excellent thank you Flipkart 🤝
Flipkart Customer,5,Highly recommended,Super 💖💖💖
Binod Gupta,5,Just wow!,I love ❤️  this phone
Rishu Mishra,5,Excellent,Superb
Sachin M,5,Simply awesome,Nice
Hemant Rokade,5,Excellent,Best
Mohammed Hussain  Hussein ,4,Value-for-money,😊 Best phone. I'm happy. 😊
Flipkart Customer,5,Best in the market!,Awesome
Durga Meena,5,Awesome,Nyc phone
Ritik Kumar,5,Classy product,Nice pic of
Gaurav Sonal,1,Not recommended at all,Wrost product facing many issues.
Flipkart Customer,5,Great product,Amazing product
Swagat Sahoo,3,Does the job,Expected better camera
Noel  John,5,Terrific,"Best Phone I have ever used.I am coming from android to iPhone for the first time and this is the best experience I have ever received.If you have budget, just go for it:)"
Munna  Pandit,5,Awesome,Nice phon
Bijender Lamba,5,Perfect product!,Very nice
Shivam Sarkar,5,Just wow!,Great Phone
Navjeet Singh,5,Simply awesome,Perfect
Flipkart Customer,5,Worth every penny,Perfect
Rohit Kushwaha,5,Could be way better,Camera is very poor
Rahul kumar Yadav,4,Nice product,Battery is still issue in 6.1 apple handset. Camera needs little more improvement for night photos.Performance is as usual as Iphone way better than costly android phones.
